Ano,Mes,IRJur,Teto1,Porc1,Abat1,Teto2,Porc2,Abat2,Teto3,Porc3,Abat3,Teto4,Porc4,Abat4,Teto5,Porc5,Abat5,Teto6,Porc6,Abat6
"1998","07",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","08",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","09",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","10",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","11",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","12",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","01",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","02",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","03",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","04",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","05",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","06",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","07",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","08",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","09",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","10",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","11",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1999","12",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","01",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","02",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","03",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","04",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","05",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","06",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","07",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","08",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","09",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2000","10",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
