Banco,Agencia,Descrição
"237","0840","AV ANTÁRTICA"
"104","0331","PINHAL SP"
"001","0264-X","STO ANDRÉ SP"
"341","3795","ALPHAVILLE"
"001","2876-2","VL GALVÃO"
"341","4084","ITAU"
"341","6241","PERSONALITE"
"237","3307-3","BRADESCO"
"237","2680-8","BRADESCO"
"341","0596","DRACENA SP"
"409","7154","TRIANON MASP"
"151","0847","AV ANGÉLICA"
"104","0642","CAIXA"
"353","2163","SANTANDER"
"237","1075-8","BRADESCO"
"341","3740","ITAU"
"341","6331","ITAU"
"341","4099","ITAU"
"341","0041","ITAU"
"341","4055","ITAU"
"341","2996","ITAU"
"341","3004","ITAU"
"341","3754","ITAU"
"341","1024","ITAU"
"356","0729","ABN"
"237","1045-6","PRIME"
"341","0069","ITAU"
"151","0361-1","SÃO CAETANO"
"104","1652","ANGÉLICA"
"001","1898-8","E.P.MEDICINA"
"745","0066","CITIBANK"
